method,file,time
hadoop,f1.txt,3.488
hadoop,f1.txt,3.419
hadoop,f1.txt,3.454
hadoop,f2.txt,3.421
hadoop,f2.txt,3.397
hadoop,f2.txt,3.321
hadoop,f3.txt,3.448
hadoop,f3.txt,4.193
hadoop,f3.txt,3.654
hadoop,f4.txt,3.466
hadoop,f4.txt,3.410
hadoop,f4.txt,3.474
hadoop,f5.txt,3.531
hadoop,f5.txt,3.487
hadoop,f5.txt,3.435
hadoop,f6.txt,3.437
hadoop,f6.txt,3.397
hadoop,f6.txt,3.524
hadoop,f7.txt,3.436
hadoop,f7.txt,3.460
hadoop,f7.txt,3.441
hadoop,f8.txt,3.418
hadoop,f8.txt,3.372
hadoop,f8.txt,3.396
hadoop,f9.txt,3.399
hadoop,f9.txt,3.436
hadoop,f9.txt,3.415
spark,f1.txt,9.376
spark,f1.txt,9.568
spark,f1.txt,9.613
spark,f2.txt,9.334
spark,f2.txt,9.421
spark,f2.txt,9.428
spark,f3.txt,9.431
spark,f3.txt,9.748
spark,f3.txt,9.382
spark,f4.txt,9.557
spark,f4.txt,9.336
spark,f4.txt,9.077
spark,f5.txt,9.222
spark,f5.txt,9.359
spark,f5.txt,9.076
spark,f6.txt,9.341
spark,f6.txt,9.298
spark,f6.txt,9.566
spark,f7.txt,9.340
spark,f7.txt,9.153
spark,f7.txt,9.282
spark,f8.txt,9.247
spark,f8.txt,9.034
spark,f8.txt,9.249
spark,f9.txt,9.158
spark,f9.txt,9.419
spark,f9.txt,8.974
